Response ID,How straightforward was this pub?,Could this pub be useful in your own work?,Were you able to find all the information you'd need to assess or reuse this work?,Does the evidence presented support the claims,Publishing version (from Pub),Date submitted
177,Clear,Yes,Yes,Yes,v2.0,8/5/2024 5:01pm
1,Confusing,Maybe,Yes,Some of them,v2.0,8/5/2024 11:46am
2,A little confusing,Yes,Yes,Some of them,v2.0,8/5/2024 11:12am
3,Clear,Maybe,Yes,Yes,v2.0,8/1/2024 4:38pm
4,A little confusing,Yes,Yes,Yes,v2.0,8/1/2024 4:09pm
5,Clear,Yes,Yes,Yes,v1.0,7/29/2024 11:32am
6,Clear,Yes,Some of it,Yes,v1.0,7/29/2024 10:50am
53,Clear,Maybe,Yes,Yes,v1.0,7/11/2024 12:00am
88,Clear,Yes,Yes,Yes,v1.0,6/20/2024 12:00am
72,A little confusing,Not really,Not really,Yes,v1.0,6/5/2024 12:00am
149,Clear,Maybe,Yes,Yes,v1.0,6/5/2024 12:00am
112,Clear,Not really,Yes,Yes,v1.0,6/4/2024 12:00am
125,Clear,Maybe,Yes,Yes,v1.0,6/4/2024 12:00am
23,Clear,Yes,Some of it,Yes,v1.0,6/3/2024 12:00am
111,Clear,Maybe,Yes,Yes,v1.0,6/1/2024 12:00am
156,Clear,Yes,Yes,Yes,v1.0,5/31/2024 12:00am
174,Clear,Yes,Yes,Yes,v1.0,5/31/2024 12:00am
17,Clear,Not really,Yes,Yes,v1.0,5/30/2024 12:00am
48,Confusing,Not really,Not really,Not really,v1.0,5/28/2024 12:00am
123,Clear,Yes,Yes,Yes,v1.0,5/28/2024 12:00am
31,Clear,Yes,Yes,Yes,v1.0,5/22/2024 12:00am
127,,Yes,Yes,Yes,v1.0,5/22/2024 12:00am
150,Clear,Yes,Yes,Yes,v1.0,5/12/2024 12:00am
171,Clear,Yes,Yes,Yes,v1.0,4/26/2024 12:00am
100,,Yes,Yes,Yes,v1.0,4/25/2024 12:00am
163,Clear,Yes,Yes,Yes,v1.0,4/25/2024 12:00am
158,A little confusing,Maybe,Yes,Yes,v1.0,3/28/2024 12:00am
118,A little confusing,,Not really,Not really,v1.0,3/19/2024 12:00am
76,A little confusing,Not really,Yes,Yes,v1.0,3/15/2024 12:00am
10,Clear,Yes,Yes,Yes,v1.0,3/8/2024 12:00am
27,Clear,Maybe,Yes,Yes,v1.0,3/8/2024 12:00am
114,Clear,Not really,Some of it,Yes,v1.0,3/8/2024 12:00am
122,Clear,Maybe,Yes,Yes,v1.0,3/8/2024 12:00am
44,Clear,Yes,Yes,Yes,v1.0,2/22/2024 12:00am
42,Clear,Yes,Yes,Yes,v1.0,2/3/2024 12:00am
69,Clear,Yes,Yes,Yes,v1.0,2/1/2024 12:00am
74,Clear,Yes,Yes,Yes,v1.0,2/1/2024 12:00am
106,A little confusing,Maybe,Some of it,Some of them,v1.0,1/23/2024 12:00am
22,Clear,Not really,Yes,Yes,v1.0,1/20/2024 12:00am
164,Clear,Yes,Yes,Yes,v1.0,1/7/2024 12:00am
92,Confusing,Not really,,,v1.0,1/6/2024 12:00am
143,Clear,Maybe,Yes,Yes,v1.0,1/4/2024 12:00am
169,Clear,Yes,Yes,Yes,v1.0,1/4/2024 12:00am
155,Clear,Yes,Some of it,Yes,v1.0,1/3/2024 12:00am
170,Clear,Not really,Yes,Yes,v1.0,1/3/2024 12:00am
130,A little confusing,Maybe,Yes,Some of them,v1.0,12/29/2023 12:00am
33,Clear,Maybe,Yes,Some of them,v1.0,12/8/2023 12:00am
75,Clear,Maybe,Yes,Yes,v1.0,12/7/2023 12:00am
13,Clear,Maybe,Yes,Yes,v1.0,12/4/2023 12:00am
105,Clear,Yes,Yes,Yes,v1.0,11/18/2023 12:00am
11,Clear,Yes,Yes,Yes,v1.0,11/17/2023 12:00am
167,,Yes,Yes,Yes,v1.0,11/17/2023 12:00am
7,Clear,Yes,Yes,Yes,v1.0,11/16/2023 12:00am
157,Clear,Yes,Yes,Yes,v1.0,11/14/2023 12:00am
29,Clear,Yes,Yes,Yes,v1.0,11/7/2023 12:00am
136,,Not really,Some of it,Some of them,v1.0,11/3/2023 12:00am
148,Clear,Yes,Yes,Yes,v1.0,11/3/2023 12:00am
173,Clear,Yes,Yes,Yes,v1.0,11/3/2023 12:00am
124,Clear,Yes,Yes,Yes,v1.0,11/2/2023 12:00am
102,Clear,Not really,Yes,Yes,v1.0,10/30/2023 12:00am
97,Clear,Yes,Yes,Yes,v1.0,10/20/2023 12:00am
161,Clear,Maybe,Yes,Yes,v1.0,10/12/2023 12:00am
37,Clear,Yes,Some of it,Yes,v1.0,10/10/2023 12:00am
12,Confusing,Maybe,Not really,Not really,v1.0,10/4/2023 12:00am
80,Clear,Maybe,Yes,Yes,v1.0,10/4/2023 12:00am
137,Confusing,Not really,Some of it,Some of them,v1.0,10/3/2023 12:00am
91,Clear,Not really,Yes,Yes,v1.0,10/1/2023 12:00am
117,Confusing,Not really,Some of it,Not really,v1.0,9/27/2023 12:00am
78,Clear,Not really,Yes,Yes,v1.0,9/26/2023 12:00am
38,Clear,Maybe,Yes,Yes,v1.0,9/6/2023 12:00am
83,Clear,Maybe,Yes,Yes,v1.0,9/5/2023 12:00am
36,Clear,Maybe,Yes,Yes,v1.0,8/30/2023 12:00am
87,Clear,Yes,Yes,Yes,v1.0,8/22/2023 12:00am
175,Clear,Yes,Some of it,Yes,v1.0,8/15/2023 12:00am
70,Clear,Yes,Yes,Yes,v1.0,8/2/2023 12:00am
152,A little confusing,Yes,Yes,Yes,v1.0,8/2/2023 12:00am
144,Clear,Yes,Yes,Yes,v1.0,7/27/2023 12:00am
9,Clear,Yes,Yes,Yes,v1.0,7/24/2023 12:00am
104,Clear,Maybe,Yes,Yes,v1.0,7/24/2023 12:00am
50,A little confusing,Not really,Yes,Yes,v1.0,7/22/2023 12:00am
49,Clear,Yes,Yes,Yes,v1.0,7/21/2023 12:00am
15,Clear,Yes,Yes,Yes,v1.0,7/20/2023 12:00am
26,Clear,Yes,Yes,Yes,v1.0,7/20/2023 12:00am
134,Clear,Yes,Yes,Yes,v1.0,7/20/2023 12:00am
16,Clear,Yes,Yes,Yes,v1.0,7/19/2023 12:00am
162,Clear,Maybe,Yes,Yes,v1.0,7/18/2023 12:00am
93,Clear,Yes,Yes,Yes,v1.0,7/5/2023 12:00am
73,Clear,Maybe,Yes,Yes,v1.0,6/27/2023 12:00am
39,Clear,Maybe,Yes,Yes,v1.0,6/26/2023 12:00am
133,Clear,Yes,Yes,Yes,v1.0,6/24/2023 12:00am
82,Clear,Not really,Yes,Yes,v1.0,6/23/2023 12:00am
115,Clear,Maybe,Yes,Yes,v1.0,6/12/2023 12:00am
46,Clear,Maybe,Yes,Yes,v1.0,6/5/2023 12:00am
110,Confusing,Yes,Some of it,Some of them,v1.0,6/2/2023 12:00am
165,Clear,Yes,Yes,Yes,v1.0,5/18/2023 12:00am
147,Clear,Yes,Yes,Yes,v1.0,5/17/2023 12:00am
65,Clear,Maybe,,Yes,v1.0,5/14/2023 12:00am
172,A little confusing,Maybe,Some of it,Some of them,v1.0,5/10/2023 12:00am
85,Clear,Yes,Yes,Yes,v1.0,5/9/2023 12:00am
35,,Maybe,Not really,,v1.0,5/6/2023 12:00am
151,Clear,Yes,Yes,Yes,v1.0,5/5/2023 12:00am
56,Clear,Maybe,Yes,,v1.0,5/4/2023 12:00am
60,Clear,Yes,Yes,Yes,v1.0,5/4/2023 12:00am
64,Clear,Yes,Yes,Yes,v1.0,5/3/2023 12:00am
18,,Not really,,,v1.0,5/2/2023 12:00am
34,Clear,Not really,Yes,,v1.0,5/2/2023 12:00am
41,Clear,Yes,Yes,,v1.0,5/2/2023 12:00am
67,Clear,Maybe,Yes,,v1.0,5/2/2023 12:00am
86,Clear,Maybe,Yes,,v1.0,5/2/2023 12:00am
96,Clear,Maybe,Yes,,v1.0,5/2/2023 12:00am
108,Clear,Maybe,Yes,,v1.0,5/2/2023 12:00am
119,Clear,Not really,Yes,,v1.0,5/2/2023 12:00am
121,Clear,Yes,Yes,,v1.0,5/2/2023 12:00am
126,Clear,Yes,Some of it,,v1.0,5/2/2023 12:00am
58,,Not really,Yes,,v1.0,3/16/2023 12:00am
20,Clear,Yes,Yes,,v1.0,3/15/2023 12:00am
81,Clear,Not really,Yes,,v1.0,3/15/2023 12:00am
8,Clear,Yes,Yes,,v1.0,3/14/2023 12:00am
68,Clear,Yes,Yes,,v1.0,3/13/2023 12:00am
145,Clear,Not really,Yes,,v1.0,3/13/2023 12:00am
79,Clear,Yes,Yes,,v1.0,3/9/2023 12:00am
101,Clear,Yes,Yes,,v1.0,3/9/2023 12:00am
84,Clear,Yes,Yes,,v1.0,3/8/2023 12:00am
120,Clear,Yes,Yes,,v1.0,3/8/2023 12:00am
21,Clear,Yes,Yes,,v1.0,3/6/2023 12:00am
43,Clear,Not really,Yes,,v1.0,3/1/2023 12:00am
132,Clear,Yes,Yes,,v1.0,2/23/2023 12:00am
24,Clear,Not really,Some of it,,v1.0,2/22/2023 12:00am
61,Clear,Yes,Yes,,v1.0,2/22/2023 12:00am
103,Clear,Not really,Some of it,,v1.0,2/22/2023 12:00am
140,Clear,Not really,Yes,,v1.0,2/22/2023 12:00am
176,Clear,Maybe,,,v1.0,2/20/2023 12:00am
166,Clear,,Yes,,v1.0,2/7/2023 12:00am
45,Clear,,,,v1.0,1/27/2023 12:00am
59,Clear,Maybe,Not really,,v1.0,1/20/2023 12:00am
14,Clear,Maybe,Yes,,v1.0,1/18/2023 12:00am
160,Clear,Yes,Some of it,,v1.0,1/4/2023 12:00am
116,Clear,Yes,Yes,,v1.0,12/20/2022 12:00am
113,Clear,Yes,Yes,,v1.0,12/19/2022 12:00am
47,Clear,Yes,Yes,,v1.0,12/7/2022 12:00am
146,Clear,Maybe,Yes,,v1.0,12/4/2022 12:00am
129,Clear,Yes,Yes,,v1.0,12/3/2022 12:00am
30,Clear,Yes,Yes,,v1.0,11/21/2022 12:00am
128,Confusing,Not really,Not really,,v1.0,10/19/2022 12:00am
32,Clear,Not really,Yes,,v1.0,10/18/2022 12:00am
154,Clear,Maybe,Some of it,,v1.0,10/18/2022 12:00am
51,,Yes,Some of it,,v1.0,10/17/2022 12:00am
62,Confusing,Not really,Not really,,v1.0,10/17/2022 12:00am
98,Clear,Maybe,Yes,,v1.0,10/17/2022 12:00am
63,Clear,Maybe,Yes,,v1.0,10/5/2022 12:00am
52,Confusing,Maybe,Not really,,v1.0,8/27/2022 12:00am
141,Confusing,Not really,Not really,,v1.0,8/26/2022 12:00am
66,Clear,Yes,Yes,,v1.0,8/24/2022 12:00am
90,Clear,Yes,Yes,,v1.0,8/24/2022 12:00am
54,Clear,Not really,Yes,,v1.0,8/23/2022 12:00am
71,Clear,Not really,Yes,,v1.0,8/23/2022 12:00am
89,Clear,Maybe,Yes,,v1.0,8/23/2022 12:00am
153,Clear,Maybe,Yes,,v1.0,8/23/2022 12:00am
168,Clear,Not really,Yes,,v1.0,8/23/2022 12:00am
25,Clear,Not really,Yes,,v1.0,7/19/2022 12:00am
40,A little confusing,Not really,Some of it,,v1.0,7/19/2022 12:00am
77,Clear,Not really,Yes,,v1.0,7/13/2022 12:00am
99,Clear,Maybe,Yes,,v1.0,7/13/2022 12:00am
94,Confusing,Maybe,Not really,,v1.0,6/30/2022 12:00am
131,Confusing,Maybe,Not really,,v1.0,6/30/2022 12:00am
95,A little confusing,Maybe,Yes,,v1.0,6/20/2022 12:00am
109,Clear,Not really,Yes,,v1.0,6/12/2022 12:00am
19,Clear,Not really,Yes,,v1.0,6/10/2022 12:00am
135,Clear,Not really,Yes,,v1.0,6/10/2022 12:00am
28,Clear,Yes,Yes,,v1.0,6/3/2022 12:00am
139,A little confusing,,,,v1.0,6/2/2022 12:00am
159,Clear,Not really,Yes,,v1.0,6/2/2022 12:00am
138,Confusing,Not really,Not really,,v1.0,6/1/2022 12:00am
142,Confusing,Not really,Not really,,v1.0,6/1/2022 12:00am
55,Clear,Maybe,Some of it,,v1.0,5/31/2022 12:00am
57,Confusing,Yes,Some of it,,v1.0,5/31/2022 12:00am
107,Clear,Yes,Yes,,v1.0,5/31/2022 12:00am
